strategy,query_id,query,selected_ids,released_ids,expected_ids,forbidden_ids,selected_count,released_count,expected_selected_count,expected_released_count,retrieved_correct_memory,released_correct_memory,answer_contains_expected,answer_contains_count,expected_answer_term_count,wrong_memory_count,forbidden_memory_leak_count,sensitive_memory_leak_count,irrelevant_memory_leak_count,traceability,source_hash_present,pointer_present,context_bytes,context_tokens_est,latency_ms,guard_reasons
A_FULL_RAW_CONTEXT,q001,What storage layer does Project Atlas use for the memory pointer resolver demo?,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m001,m007|m012|m016,20,20,1,1,1,1,1,2,2,19,3,4,19,0,0,0,1999,500,0.07479998748749495,FULL_RAW_NO_GUARD
A_FULL_RAW_CONTEXT,q002,Which languages does Alice prefer for backend prototypes and UI work?,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m002,m007|m012|m016,20,20,1,1,1,1,1,2,2,19,3,4,19,0,0,0,1999,500,0.024999957531690598,FULL_RAW_NO_GUARD
A_FULL_RAW_CONTEXT,q003,What cafe environment is preferred for focused work?,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m003,m007|m012|m016,20,20,1,1,1,1,1,2,2,19,3,4,19,0,0,0,1999,500,0.013699987903237343,FULL_RAW_NO_GUARD
A_FULL_RAW_CONTEXT,q004,Why are tombstones needed in the memory pointer lifecycle?,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m005|m015,m007|m012,20,20,2,2,1,1,1,3,3,18,2,4,18,0,0,0,1999,500,0.012499978765845299,FULL_RAW_NO_GUARD
A_FULL_RAW_CONTEXT,q005,What should the agent shadow window display?,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m008,m007|m012|m016,20,20,1,1,1,1,1,5,5,19,3,4,19,0,0,0,1999,500,0.011199968867003918,FULL_RAW_NO_GUARD
A_FULL_RAW_CONTEXT,q006,What five context strategies should the benchmark compare?,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m009,m007|m012,20,20,1,1,1,1,1,5,5,19,2,4,19,0,0,0,1999,500,0.010899966582655907,FULL_RAW_NO_GUARD
A_FULL_RAW_CONTEXT,q007,Which metrics must v0.2.0 report?,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m010,m007|m012,20,20,1,1,1,1,1,6,6,19,2,4,19,0,0,0,1999,500,0.010999967344105244,FULL_RAW_NO_GUARD
A_FULL_RAW_CONTEXT,q008,What should happen if recommendation-only memory is reused for training export?,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m012,m007,20,20,1,1,1,1,1,3,3,19,1,3,19,0,0,0,1999,500,0.03490003291517496,FULL_RAW_NO_GUARD
A_FULL_RAW_CONTEXT,q009,What should the resolver return instead of silent failure?,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m014,m007|m012,20,20,1,1,1,1,1,1,1,19,2,4,19,0,0,0,1999,500,0.013199984095990658,FULL_RAW_NO_GUARD
A_FULL_RAW_CONTEXT,q010,What metadata can a pointer carry?,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m001|m002|m003|m004|m005|m006|m007|m008|m009|m010|m011|m012|m013|m014|m015|m016|m017|m018|m019|m020,m017,m007|m012,20,20,1,1,1,1,1,5,5,19,2,4,19,0,0,0,1999,500,0.012499978765845299,FULL_RAW_NO_GUARD
